e-fraction-ops|Operaciones con fracciones|Matemáticas|1-4|operaciones con fracciones;sumar fracciones;multiplicar fracciones|Para sumar o restar fracciones usamos un denominador común y operamos los numeradores equivalentes. Para multiplicarlas, multiplicamos numeradores y denominadores. Para dividir por una fracción no nula, multiplicamos por su inversa.|Sumar exige partes del mismo tamaño; multiplicar sigue otra regla. No mezcles ambas operaciones.|1/3 + 1/6 = 2/6 + 1/6 = 3/6 = 1/2. En cambio, 1/3 × 1/6 = 1/18.|1/3 + 1/6 es…~1/2~2/9~1/18~A$1/2 × 3/4 es…~4/6~3/8~3/6~B$Dividir por 2/3 equivale a multiplicar por…~2/3~1/3~3/2~C|Identifica primero la operación y prepara las fracciones según su regla.|No se suman los denominadores al sumar fracciones.|El denominador común permite reunir cantidades expresadas en la misma unidad fraccionaria.
e-roots|Raíz cuadrada|Matemáticas|1-4|raiz cuadrada;raices cuadradas|La raíz cuadrada principal de un número real no negativo es el único número no negativo cuyo cuadrado lo produce. √25 = 5. La ecuación x² = 25 tiene dos soluciones reales, 5 y −5: no confundas raíz principal con soluciones de una ecuación.|Busca qué número no negativo multiplicado por sí mismo da el radicando.|√49 = 7 porque 7² = 49; al resolver x² = 49 también aparece −7.|√49 vale…~−7 únicamente~7~14~B$Las soluciones de x² = 9 son…~3 y −3~Solo 9~Solo −9~A$La raíz cuadrada principal es…~Siempre negativa~Cualquier número~No negativa~C|Comprueba elevando al cuadrado y distingue expresión de ecuación.|El símbolo √ indica la raíz principal, no dos valores simultáneos.|La elección de la raíz no negativa convierte la raíz cuadrada principal en una función bien definida.
e-percent-change|Variaciones porcentuales|Matemáticas|1-4|aumentos y descuentos;variaciones porcentuales;descuentos sucesivos|Para aumentar una cantidad un p %, multiplícala por 1 + p/100; para reducirla, por 1 − p/100. En cambios sucesivos, cada porcentaje actúa sobre el nuevo total, no necesariamente sobre el original.|Un aumento del 20 % deja el 120 %; un descuento del 20 % deja el 80 %.|100 aumenta un 10 % hasta 110 y luego baja un 10 % hasta 99. No vuelve a 100.|100 tras subir un 10 % y bajar otro 10 % queda en…~100~90~99~C$Un descuento del 20 % equivale a multiplicar por…~0,8~1,2~0,2~A$Los porcentajes sucesivos se aplican…~Siempre al primer valor~Al valor de cada paso~Sin total de referencia~B|Escribe el factor multiplicativo de cada cambio.|Subir y bajar el mismo porcentaje no suele compensarse.|La base sobre la que se calcula el segundo porcentaje ya ha cambiado, por eso no se cancelan sin más.
e-inverse|Proporcionalidad inversa|Matemáticas|1-4|proporcionalidad inversa;magnitudes inversamente proporcionales|Dos magnitudes positivas son inversamente proporcionales cuando su producto se mantiene constante: y = k/x. Si una se duplica, la otra se reduce a la mitad. Que una aumente y otra disminuya no basta para demostrar esta relación.|Comprueba que multiplicar las dos cantidades siempre da lo mismo.|Para recorrer una distancia fija a velocidad constante, tiempo = distancia/velocidad. Duplicar la velocidad reduce a la mitad el tiempo ideal.|En proporcionalidad inversa se conserva…~El producto~La suma~La diferencia~A$Si una magnitud se triplica, la otra…~Se triplica~Se divide entre tres~No cambia~B$Una sube y otra baja: ¿basta para asegurar proporcionalidad inversa?~Sí, siempre~Solo si hay enteros~No~C|Calcula el producto de pares de valores.|No toda relación decreciente es una proporcionalidad inversa.|La constancia del producto es la condición matemática que distingue esta relación de otras.
e-linear-systems|Sistemas de ecuaciones lineales|Matemáticas|2-4|sistemas de ecuaciones;sistemas lineales|Resolver un sistema consiste en encontrar valores que satisfagan todas sus ecuaciones a la vez. Se puede usar sustitución, igualación o reducción. Dos ecuaciones lineales con dos incógnitas pueden tener una solución, ninguna o infinitas.|No basta que los valores funcionen en una ecuación: deben funcionar en ambas.|En x + y = 7 y x − y = 1, sumar ambas da 2x = 8. Así x = 4 e y = 3.|La solución del ejemplo es…~x=3, y=4~x=4, y=3~x=7, y=1~B$Para comprobarla sustituimos en…~Todas las ecuaciones~Solo una al azar~Ninguna~A$Dos rectas paralelas distintas representan un sistema con…~Infinitas soluciones~Una solución~Ninguna solución~C|Sustituye los valores candidatos y revisa las dos igualdades.|Tener dos ecuaciones no garantiza una única solución.|Geométricamente se buscan puntos comunes a ambas rectas: la intersección determina las soluciones.
e-median|Mediana y moda|Matemáticas|1-4|mediana y moda;mediana;moda estadistica|La mediana divide los datos ordenados en dos mitades; con un número par de datos se promedian los dos centrales. La moda es el valor o categoría más frecuente. Puede haber varias modas; no hay que confundirlas con la media.|Ordena antes de hallar la mediana. Para la moda, cuenta repeticiones.|En 2, 3, 3 y 8, la mediana es 3 y la moda también es 3. La media es 4.|La mediana de 1, 4 y 9 es…~4~9~14/3~A$La moda de 2, 2, 5 y 7 es…~7~2~4~B$La mediana de 2, 4, 8 y 10 es…~4~8~6~C|Ordena todos los datos y localiza el centro.|La mediana no se obtiene promediando siempre el mínimo y el máximo.|Las medidas resumen propiedades distintas: posición central, frecuencia o reparto del total.
e-volume|Volumen de prismas|Matemáticas|1-4|volumen de prismas;volumen;volumen de un prisma|El volumen mide el espacio ocupado. En un prisma, V = área de la base × altura perpendicular. Se expresa en unidades cúbicas. Las longitudes deben usar unidades compatibles y el área de la base, sus unidades cuadradas correspondientes.|Piensa en capas iguales de la base apiladas hasta la altura del prisma.|Un ortoedro de 4 cm por 3 cm por 2 cm tiene volumen 4 × 3 × 2 = 24 cm³.|Ese ortoedro tiene volumen…~24 cm²~24 cm³~9 cm~B$La fórmula del prisma es…~Área de la base por altura~Perímetro por dos~Base más altura~A$La altura usada debe ser…~Un lado cualquiera~La diagonal siempre~Perpendicular a la base~C|Calcula primero el área de la base y después multiplica por la altura.|Área y volumen tienen dimensiones y unidades diferentes.|Una capa aporta un área; acumular capas a lo largo de una longitud produce un volumen.
e-speed|Rapidez y velocidad|Física y Química|2-4|rapidez y velocidad;rapidez media;velocidad media|La rapidez media es distancia recorrida dividida por tiempo. La velocidad media es desplazamiento dividido por tiempo y tiene dirección y sentido. En un recorrido de ida y vuelta el desplazamiento total puede ser cero aunque se haya recorrido distancia.|Distingue cuánto camino recorres y cuánto cambia tu posición final respecto a la inicial.|Recorrer 100 m en 20 s da una rapidez media de 5 m/s. Volver al punto inicial hace cero el desplazamiento total.|100 m en 20 s dan rapidez media…~5 m/s~20 m/s~2000 m/s~A$Al volver al punto inicial, el desplazamiento total es…~Toda la distancia~Cero~Siempre 100 m~B$La velocidad incluye…~Solo masa~Solo temperatura~Dirección y sentido~C|Elige distancia o desplazamiento según la magnitud pedida.|Rapidez y velocidad no son exactamente lo mismo.|Una trayectoria puede acumular distancia sin cambiar la posición final, por eso ambas magnitudes deben distinguirse.
e-acceleration|La aceleración|Física y Química|2-4|aceleracion;aceleracion media|La aceleración mide cómo cambia la velocidad con el tiempo. En un movimiento rectilíneo, la aceleración media es Δv/Δt. Sus unidades en el SI son m/s². Puede haber aceleración al cambiar de dirección aunque la rapidez sea constante.|No mide qué rápido vas, sino cuánto cambia tu velocidad por unidad de tiempo.|Pasar de 2 a 8 m/s en 3 s da aceleración media (8−2)/3 = 2 m/s².|La aceleración del ejemplo es…~6 m/s²~2 m/s²~10 m/s²~B$La unidad del SI es…~m/s²~m/s~kg~A$Cambiar de dirección a rapidez constante…~Nunca acelera~Elimina la velocidad~Puede implicar aceleración~C|Resta velocidad final menos inicial y divide por el tiempo.|Aceleración negativa no significa siempre ir cada vez más lento.|El signo depende del eje elegido y debe interpretarse junto con el signo de la velocidad.
e-mixtures|Mezclas y sustancias puras|Física y Química|1-4|mezclas;mezclas y sustancias puras;mezclas homogeneas|Una sustancia pura tiene composición definida; una mezcla reúne varias sustancias y su composición puede variar. Una mezcla homogénea presenta composición uniforme a la escala observada; una heterogénea permite distinguir fases. Los componentes se separan mediante procedimientos físicos adecuados.|Agua con sal disuelta es una mezcla, aunque no veas la sal como granos.|La filtración puede separar arena del agua, pero no retiene la sal disuelta en un filtro común.|Agua con sal disuelta es…~Un elemento~Un compuesto único~Una mezcla homogénea~C$Arena y agua pueden separarse mediante…~Filtración~Multiplicación~Congelación obligatoria~A$¿Un filtro común elimina la sal disuelta?~Siempre~No~Solo por cambiar el color~B|Pregunta si los componentes están disueltos o forman fases separables.|Que una mezcla parezca uniforme no la convierte en sustancia pura.|La separación se elige según propiedades físicas de los componentes, como tamaño, solubilidad o volatilidad.
e-periodic|La tabla periódica|Física y Química|2-4|tabla periodica;elementos quimicos|La tabla periódica ordena los elementos por número atómico creciente. Ese número cuenta protones. Las columnas son grupos y las filas periodos. Elementos de un mismo grupo pueden compartir propiedades relacionadas con su estructura electrónica.|Cada elemento tiene un número de protones característico: cambiarlo significa cambiar de elemento.|El carbono tiene número atómico 6: sus átomos tienen seis protones, aunque puedan variar los neutrones.|El número atómico cuenta…~Protones~Neutrones solamente~Protones más neutrones~A$Las columnas se llaman…~Periodos~Grupos~Órbitas~B$Átomos con igual número de protones pertenecen…~Siempre a compuestos distintos~A galaxias distintas~Al mismo elemento~C|No confundas número atómico con número másico.|Los isótopos de un elemento no tienen necesariamente el mismo número de neutrones.|El número de protones define la identidad química; otras diferencias no cambian el elemento.
