b-product-rule|Derivada de un producto|Matemáticas|1-2|derivada de un producto;regla del producto|Si u y v son funciones derivables, la derivada de su producto es (uv)' = u'v + uv'. No es, en general, el producto de sus derivadas. Se derivan alternativamente los factores y se suman las dos contribuciones. Después se puede simplificar.|Deriva el primer factor dejando el segundo; suma el primer factor por la derivada del segundo.|Para f(x) = x²·(x + 1), f'(x) = 2x(x + 1) + x² = 3x² + 2x. También se comprueba desarrollando antes f(x) = x³ + x².|La derivada de x²(x + 1) es…~3x² + 2x~2x~2x² + 1~A$La regla del producto es…~u'v'~u'v + uv'~u + v~B$Para comprobar el ejemplo podemos…~Cambiar x por cualquier letra y terminar~Suponer que toda suma desaparece~Desarrollar el producto y derivar el polinomio~C|Escribe las dos contribuciones antes de simplificar.|Derivar un producto no equivale generalmente a multiplicar las derivadas.|La variación del producto recibe aportaciones de cada factor, y la regla reúne ambas en lugar de ignorar una.
b-indefinite-integral|Primitivas e integral indefinida|Matemáticas|2-2|primitivas e integral indefinida;integral indefinida|Una primitiva de f es una función F cuya derivada es f. En un intervalo, todas las primitivas de una misma función difieren en una constante. La integral indefinida expresa esa familia y se escribe con + C. Para x^n, con n distinto de −1 y en un dominio adecuado, una primitiva es x^(n+1)/(n+1).|Busca una función que al derivarla devuelva el integrando y no olvides la constante.|Una familia de primitivas de x² es x³/3 + C. Al derivar, obtenemos x² y la derivada de C es cero.|Una primitiva de x² es…~2x~x³/3~x³~B$El término + C representa…~La familia de constantes de integración~Una variable que siempre vale uno~Una multiplicación obligatoria~A$Para comprobar una primitiva debemos…~Integrarla otra vez sin comparar~Sustituir siempre x por cero~Derivarla y comparar con el integrando~C|Comprueba tu propuesta mediante una derivada independiente.|La regla de potencias indicada excluye n = −1.|La derivada elimina las constantes aditivas, de modo que una misma función puede tener una familia de primitivas.
b-line-equations|Pendiente y ecuación de una recta|Matemáticas|1-2|pendiente y ecuacion de una recta;ecuacion de la recta|En coordenadas cartesianas, una recta no vertical puede escribirse y = mx + b. La pendiente m describe el cambio de y por unidad de cambio de x; b es la ordenada en el origen. Las rectas verticales x = c no tienen pendiente finita ni esa forma explícita.|Separa el ritmo de cambio de la altura donde la recta corta el eje y.|En y = 2x + 1, m = 2 y b = 1. Para x = 3, y = 7. Una recta paralela distinta puede ser y = 2x − 4.|El punto de y = 2x + 1 con x = 3 tiene y igual a…~7~6~3~A$La recta y = 2x − 4 es respecto a y = 2x + 1…~Perpendicular~Paralela distinta~La misma recta~B$Una recta vertical x = 5…~Tiene pendiente cero~Se escribe y = 5 para cualquier x~No tiene pendiente finita~C|Identifica coeficiente de x, término independiente y posible verticalidad.|Una recta vertical no tiene pendiente cero; eso corresponde a una horizontal.|La pendiente compara incrementos; en una recta vertical el cambio horizontal es cero y el cociente no define una pendiente finita.
b-matrix-multiplication|Producto de matrices|Matemáticas|1-2|producto de matrices;multiplicacion de matrices|El producto AB está definido si el número de columnas de A coincide con el de filas de B. Cada entrada se obtiene multiplicando una fila de A por una columna de B y sumando los productos. En general, AB y BA no coinciden y uno puede no estar definido.|Comprueba las dimensiones y calcula cada casilla como un producto fila por columna.|La matriz fila (1, 2) multiplicada por la matriz columna (3, 4) da una matriz 1×1 con entrada 1·3 + 2·4 = 11.|La fila (1,2) por la columna (3,4) da la entrada…~10~11~21~B$Una matriz 2×3 por una 3×4 produce una…~2×4~3×3~4×2~A$La multiplicación de matrices…~Siempre es conmutativa~Solo se hace casilla a casilla~No es conmutativa en general~C|Las dimensiones interiores deben coincidir; las exteriores describen el resultado.|El producto matricial ordinario no consiste en multiplicar casillas de igual posición.|Combinar filas y columnas representa la composición de relaciones lineales, y el orden de esa composición importa.
b-bayes|Teorema de Bayes|Matemáticas|2-2|teorema de bayes;bayes|El teorema de Bayes relaciona P(A dado B) con P(B dado A): P(A|B) = P(B|A)P(A)/P(B), si P(B) es positiva. La probabilidad previa y la probabilidad total del resultado importan; no podemos intercambiar automáticamente las dos probabilidades condicionadas.|Para actualizar una probabilidad, combina lo frecuente que era el caso con lo probable que es la evidencia en él.|Se elige A o B con probabilidad 1/2. A produce rojo con probabilidad 3/4 y B con 1/4. P(rojo)=1/2 y P(A|rojo)=(3/4·1/2)/(1/2)=3/4.|En el ejemplo A/B equiprobables, P(rojo|A)=3/4 y P(rojo|B)=1/4. P(rojo) es…~1/2~3/4~1/4~A$Se elige A o B con probabilidad 1/2; P(rojo|A)=3/4 y P(rojo|B)=1/4. P(A|rojo) es…~1/4~1/2~3/4~C$Para aplicar la fórmula indicada, P(B) debe ser…~Siempre uno~Mayor que cero~Siempre igual a P(A)~B|Calcula primero la probabilidad total de la evidencia y distingue el orden de la condición.|P(A|B) y P(B|A) no son intercambiables por definición.|La evidencia cambia el peso relativo de las posibilidades previas; la normalización permite que las probabilidades resultantes sean coherentes.
b-electric-field|Campo eléctrico y fuerza|Física|2-2|campo electrico;campo electrico y fuerza|El campo eléctrico describe la fuerza eléctrica por unidad de carga de prueba positiva: E = F/q en el modelo de carga de prueba. La fuerza sobre una carga cumple F = qE. Si q es negativa, fuerza y campo tienen sentidos opuestos. Las unidades SI del campo son N/C.|El campo indica hacia dónde sería empujada una carga positiva; una negativa experimenta fuerza en sentido contrario.|Un campo uniforme de 200 N/C hacia la derecha ejerce sobre q = −0,01 C una fuerza de −2 N en ese eje: módulo 2 N hacia la izquierda.|Con E = 200 N/C a la derecha y q = −0,01 C, la fuerza es…~2 N a la derecha~2 N a la izquierda~200 N a la izquierda~B$La unidad N/C corresponde al…~Campo eléctrico~Tiempo~Volumen~A$Una carga positiva en un campo eléctrico tiene fuerza…~Siempre perpendicular al campo~Siempre contraria al campo~En el mismo sentido que el campo~C|Conserva el signo de la carga y distingue módulo y sentido.|El campo no cambia de sentido por elegir una carga de prueba negativa; cambia el sentido de la fuerza sobre ella.|La relación vectorial F = qE separa la propiedad del campo de la carga que lo experimenta y explica el efecto del signo.
b-enthalpy|Entalpía y reacciones exotérmicas|Química|2-2|entalpia;reacciones exotermicas y endotermicas|La variación de entalpía es ΔH = H(productos) − H(reactivos) para el proceso definido. A presión constante y bajo las condiciones termodinámicas habituales del modelo escolar, se relaciona con el calor intercambiado. ΔH negativa indica proceso exotérmico y positiva, endotérmico. Debe indicarse la cantidad de reacción a la que se refiere.|Mira el signo desde la perspectiva del sistema: exotérmico libera calor hacia el entorno en esas condiciones.|Para una reacción tal como está escrita, ΔH = −50 kJ indica liberación de 50 kJ por esa cantidad de reacción. Al duplicar todos los coeficientes, la variación correspondiente es −100 kJ.|Si ΔH = −50 kJ, el proceso indicado es…~Exotérmico~Endotérmico~Siempre imposible~A$Al duplicar la ecuación y su cantidad de reacción, −50 kJ pasa a…~−25 kJ~−100 kJ~+50 kJ~B$Para interpretar ΔH necesitamos…~Solo el color de la sustancia~Suponer siempre un mol de cualquier material~Conocer el proceso y la cantidad de reacción~C|Define sistema, signo y cantidad a la que pertenece el valor.|Un valor de entalpía sin reacción ni cantidad asociadas puede interpretarse mal.|La entalpía es una magnitud extensiva: cambiar la cantidad de proceso cambia proporcionalmente su variación.
b-lechatelier|Cambios en un equilibrio químico|Química|2-2|principio de le chatelier;desplazamiento del equilibrio|El principio de Le Chatelier orienta la respuesta de un sistema en equilibrio ante perturbaciones. Hay que especificar concentración, presión o temperatura y las condiciones. Un catalizador acelera el acercamiento al equilibrio, pero no cambia por sí solo su constante ni su composición de equilibrio a temperatura fija.|No preguntes solo «hacia dónde»: identifica qué se modifica y qué permanece constante.|En el modelo ideal N₂(g) + 3H₂(g) ⇌ 2NH₃(g), disminuir el volumen a temperatura constante favorece el lado con menos moles gaseosos: el del amoníaco.|En N₂(g) + 3H₂(g) ⇌ 2NH₃(g), bajo modelo ideal, disminuir volumen a temperatura constante favorece…~Reactivos por tener más moles~Productos por tener menos moles gaseosos~Siempre ningún cambio~B$Un catalizador a temperatura fija…~Acelera llegar al equilibrio sin cambiar su constante~Cambia siempre la constante~Elimina la reacción inversa~A$La constante de equilibrio para una reacción dada depende de…~Cuánto pesa el recipiente siempre~Solo el color~La temperatura~C|Cuenta los moles gaseosos solo cuando la perturbación y el modelo lo permiten.|Aumentar la velocidad de alcanzar el equilibrio no equivale a desplazar su composición final.|La perturbación altera relaciones del sistema; distinguir cinética y equilibrio evita atribuir al catalizador cambios que no produce.
b-osmosis|La ósmosis|Biología|2-2|osmosis;la osmosis|La ósmosis es el movimiento neto de agua a través de una membrana selectivamente permeable por una diferencia de potencial hídrico. En el modelo sencillo de igual presión y soluto no permeante, el agua tiende hacia el lado con mayor concentración de ese soluto. La presión y la permeabilidad importan.|En el modelo indicado, la membrana deja pasar agua pero no el soluto. Compara ambos lados sin suponer que siempre se iguala cualquier concentración.|Una célula ideal en un medio hipertónico, con las condiciones adecuadas del modelo, pierde agua neta. Eso no significa que el soluto atraviese libremente la membrana.|En un medio hipertónico del modelo indicado, la célula tiende a…~Perder agua neta~Ganar siempre agua~Crear agua de la nada~A$La ósmosis implica el paso de…~Cualquier soluto sin restricción~Agua a través de una membrana selectiva~Solo proteínas~B$Para predecir el movimiento de agua debemos considerar…~Solo el color de la membrana~Solo el tamaño del dibujo~Concentraciones, presión y permeabilidad~C|Explicita qué atraviesa la membrana y qué condiciones fija el problema.|La regla de concentración simplificada necesita condiciones; no sustituye toda la descripción del potencial hídrico.|El potencial hídrico reúne contribuciones que explican el movimiento neto; la concentración es una parte del modelo, no toda la historia.
b-aristotle-virtue|La virtud en Aristóteles|Historia de la Filosofía|2-2|virtud en aristoteles;etica de aristoteles|En la ética aristotélica, la vida lograda o eudaimonía se relaciona con la actividad conforme a la virtud. Las virtudes éticas se forman mediante hábitos y se orientan por la razón práctica. El término medio es relativo a la situación y a nosotros, no un promedio matemático entre dos cantidades.|La virtud no consiste en hacer siempre la mitad, sino en actuar adecuadamente con juicio y práctica.|La valentía se presenta entre cobardía y temeridad, pero decidir una acción valiente exige atender a riesgos, fines y circunstancias; no calcular la mitad de dos conductas.|El término medio aristotélico es…~Un promedio numérico obligatorio~Una orientación práctica dependiente de la situación~Hacer siempre menos~B$Las virtudes éticas se desarrollan mediante…~Hábitos y formación del carácter~Una suma de ángulos~Azar sin aprendizaje~A$Eudaimonía se relaciona con…~Un placer momentáneo como único criterio~La riqueza como condición suficiente~Una vida lograda mediante actividad conforme a la virtud~C|Distingue una regla aritmética de una deliberación práctica sobre cómo actuar.|El término medio no convierte cualquier acción extrema en una acción correcta por reducirla a la mitad.|La ética de la virtud atiende al carácter y al juicio situado, por lo que no se reduce a una fórmula cuantitativa universal.
b-hume-causation|Hume y la causalidad|Historia de la Filosofía|2-2|hume y la causalidad;causalidad en hume|Hume examina cómo inferimos conexiones causales a partir de la experiencia. La repetición de sucesiones regulares genera hábito y expectativas, pero no observamos una necesidad lógica que obligue al futuro a repetir el pasado. Esto distingue la inferencia empírica de una demostración deductiva.|Ver repetirse una secuencia ayuda a esperar otra repetición, pero no es una prueba lógica absoluta de lo que ocurrirá siempre.|Si un fenómeno B ha seguido muchas veces a A, esperamos que vuelva a hacerlo. Para Hume, esa expectativa se relaciona con la costumbre, no con observar directamente una conexión necesaria.|En el análisis de Hume, las expectativas causales se relacionan con…~Hábito y experiencia~Solo una identidad matemática~Una observación directa de necesidad lógica~A$Que algo se repitiera en el pasado…~Demuestra deductivamente todo futuro~No basta como demostración lógica de que siempre se repetirá~Hace innecesaria cualquier observación~B$Una inferencia empírica y una demostración deductiva…~Son idénticas por definición~No pueden distinguirse~Tienen formas de justificación diferentes~C|Separa regularidad observada, expectativa y necesidad lógica.|Hume no convierte una sucesión repetida en una identidad lógica necesaria.|El análisis muestra un problema de justificación de la inducción: pasar de casos observados a afirmaciones sobre casos todavía no observados.
