e-systems|Sistemas de dos ecuaciones|Matemáticas|2-4|sistemas de ecuaciones;sistemas de dos ecuaciones;sustitucion en sistemas|Resolver un sistema es encontrar valores que satisfagan todas sus ecuaciones a la vez. En sustitución despejamos una incógnita, la reemplazamos en la otra ecuación y comprobamos la pareja obtenida en ambas. Un sistema puede tener una, ninguna o infinitas soluciones.|La solución tiene que cumplir dos condiciones al mismo tiempo, no solo una.|En x + y = 7 y x − y = 1, al sumar obtenemos 2x = 8; así x = 4 e y = 3. Se verifica: 4 + 3 = 7 y 4 − 3 = 1.|¿Qué pareja resuelve el sistema del ejemplo?~x = 4, y = 3~x = 3, y = 4~x = 7, y = 1~A$Una solución debe cumplir…~Solo la primera ecuación~Las dos ecuaciones~Solo la que resulte más fácil~B$Un sistema puede tener…~Siempre una sola solución~Siempre dos soluciones~Una, ninguna o infinitas soluciones según el caso~C|Sustituye la pareja en cada ecuación por separado.|Cumplir una ecuación no basta para resolver el sistema.|Cada ecuación impone una restricción; la solución pertenece a la intersección de los conjuntos que las cumplen.
e-quadratic|Ecuaciones de segundo grado|Matemáticas|3-4|ecuaciones de segundo grado;ecuacion cuadratica|Una ecuación de segundo grado puede escribirse ax² + bx + c = 0 con a distinto de cero. Para resolverla usamos factorización u otros métodos. El discriminante b² − 4ac indica si hay dos, una doble o ninguna raíz real.|Busca valores de x que hagan cero toda la expresión, no solo una parte.|x² − 5x + 6 = 0 se factoriza como (x − 2)(x − 3) = 0. Sus soluciones son x = 2 y x = 3.|Las soluciones del ejemplo son…~5 y 6~2 y 3~−2 y −3~B$Para que sea de segundo grado, a debe ser…~Distinto de cero~Siempre uno~Cero~A$Si el discriminante es negativo, no hay…~Coeficientes~Ecuación~Raíces reales~C|Si un producto es cero, alguno de sus factores debe ser cero.|x² = 9 tiene dos raíces reales: 3 y −3; no olvides la negativa.|Elevar al cuadrado elimina la diferencia de signo; por eso comprobar y considerar todas las raíces es esencial.
e-inequality|Inecuaciones lineales|Matemáticas|3-4|inecuaciones;inecuaciones lineales;desigualdades lineales|Una inecuación pide los valores que hacen verdadera una desigualdad. Al sumar lo mismo en ambos miembros se conserva su sentido. Al multiplicar o dividir por un número negativo, el signo de desigualdad se invierte.|Resuelves una condición, no necesariamente un único número. Cuidado al dividir por un negativo.|En −2x > 6, dividimos entre −2 y cambiamos el sentido: x < −3. El valor −4 cumple la desigualdad original.|La solución de −2x > 6 es…~x > −3~x > 3~x < −3~C$Al dividir una desigualdad por un negativo hay que…~Invertir su sentido~Dejar siempre el signo igual~Borrar la incógnita~A$¿Qué valor cumple x < −3?~0~−4~−3~B|Comprueba un valor del intervalo en la desigualdad original.|El extremo no se incluye en una desigualdad estricta como menor que.|Multiplicar por un negativo invierte el orden en la recta numérica; de ahí el cambio de signo relacional.
e-trig|Razones trigonométricas|Matemáticas|4-4|razones trigonometricas;seno coseno y tangente;trigonometria en triangulos rectangulos|En un triángulo rectángulo, respecto a un ángulo agudo, seno = cateto opuesto/hipotenusa; coseno = cateto adyacente/hipotenusa; tangente = opuesto/adyacente. Primero identifica el ángulo y los lados correspondientes.|La razón cambia según qué lado esté enfrente del ángulo elegido. La hipotenusa está frente al ángulo recto.|En un triángulo de lados 3, 4 y 5, para el ángulo opuesto al lado 3: seno = 3/5, coseno = 4/5 y tangente = 3/4.|El seno del ángulo del ejemplo es…~3/5~4/5~5/3~A$La hipotenusa se encuentra frente al ángulo…~Más pequeño siempre~Recto~Elegido al azar~B$La tangente relaciona…~Hipotenusa y perímetro~Área e hipotenusa~Cateto opuesto y adyacente~C|Marca el ángulo de referencia antes de nombrar los catetos.|Opuesto y adyacente dependen del ángulo; la hipotenusa no cambia al elegir otro ángulo agudo.|Los triángulos rectángulos semejantes conservan las razones entre lados, lo que permite asociarlas al ángulo.
e-similarity|Figuras semejantes|Matemáticas|2-4|semejanza;figuras semejantes;razon de semejanza|Dos figuras semejantes conservan la forma: sus ángulos correspondientes son iguales y sus longitudes correspondientes están en la misma proporción. Si la razón lineal es k, las áreas correspondientes varían con k².|Ampliar una figura sin deformarla multiplica todas sus longitudes por el mismo factor.|Un rectángulo de 2 por 3 y otro de 4 por 6 son semejantes con razón 2. Sus áreas son 6 y 24: la segunda es cuatro veces la primera.|La razón lineal del ejemplo es…~4~2~6~B$Al duplicar todas las longitudes, el área se multiplica por…~4~2~8~A$Para conservar semejanza debemos…~Cambiar solo un lado~Conservar únicamente el perímetro~Multiplicar longitudes correspondientes por un mismo factor~C|Distingue factores de longitud y de superficie.|Duplicar los lados no duplica el área: la cuadruplica.|El área combina dos dimensiones; si ambas se multiplican por k, su producto se multiplica por k².
e-median|Mediana y moda|Matemáticas|1-4|mediana y moda;mediana;moda estadistica|La mediana ocupa el centro de los datos ordenados; si hay un número par de datos numéricos, se toma la media de los dos centrales. La moda es un valor de frecuencia máxima. Un conjunto puede tener varias modas.|Ordena antes de buscar el centro. Para la moda, cuenta cuántas veces aparece cada valor.|En 2, 3, 3, 8 y 9, la mediana es 3 y la moda también es 3. En 2, 4, 6 y 8, la mediana es (4 + 6)/2 = 5.|La mediana de 2, 4, 6 y 8 es…~4~6~5~C$Antes de localizar la mediana debemos…~Ordenar los datos~Eliminar todos los repetidos~Sumar solo los extremos~A$La moda es…~Siempre el valor central~Un valor de máxima frecuencia~Siempre el mayor dato~B|No confundas posición central con frecuencia.|Media, mediana y moda son medidas distintas y no tienen por qué coincidir.|Cada medida resume un aspecto del conjunto; valores extremos afectan a la media de manera distinta que a la mediana.
e-mitosis|La mitosis|Biología y Geología|3-4|mitosis;division mitotica|La mitosis reparte los cromosomas previamente duplicados entre dos núcleos hijos. Normalmente, seguida de citocinesis, produce dos células con el mismo número cromosómico que la célula de partida. No debe confundirse con la meiosis.|Primero se copia el ADN y luego la mitosis organiza su reparto. Copiar y repartir son etapas distintas.|Una célula somática humana con 46 cromosomas puede originar, tras mitosis y citocinesis normales, dos células con 46 cromosomas cada una.|Tras una mitosis normal, el número cromosómico por núcleo hijo…~Se conserva~Se reduce siempre a la mitad~Se multiplica por cuatro~A$La copia del ADN ocurre normalmente…~Después de repartirse sin más~Antes de la mitosis, en interfase~Solo en el último segundo~B$La citocinesis consiste en…~Crear todos los genes~Duplicar necesariamente los cromosomas~Dividir el citoplasma celular~C|Separa duplicación del ADN, reparto nuclear y división del citoplasma.|Duplicar ADN no significa que cada célula hija normal acabe con el doble de cromosomas.|El reparto equilibrado conserva la dotación cromosómica mientras permite crecimiento y renovación de muchos tejidos.
e-mendel|Herencia mendeliana sencilla|Biología y Geología|4-4|herencia mendeliana;leyes de mendel;dominante y recesivo|En un modelo mendeliano sencillo, un gen tiene variantes llamadas alelos. Dominante describe qué alelo se expresa en el heterocigoto para el rasgo estudiado; no significa mejor, más frecuente ni más fuerte. Muchos rasgos no siguen este modelo simple.|Usa letras para representar alelos, pero recuerda que es un modelo concreto y no explica por sí solo todos los rasgos.|En Aa × Aa, con dominancia completa de A, las combinaciones esperadas son AA, Aa, Aa y aa. La probabilidad de aa es 1/4 en cada descendiente, bajo las condiciones del modelo.|En el cruce del ejemplo, la probabilidad de aa es…~1/2~1/4~3/4~B$Dominante significa aquí…~Que se expresa en el heterocigoto~Que siempre es más frecuente~Que es mejor biológicamente~A$Estas proporciones…~Obligan a que cada familia de cuatro tenga una persona aa~Explican todos los rasgos~Son probabilidades del modelo, no un reparto obligatorio en familias pequeñas~C|Dibuja las combinaciones posibles de los gametos y cuenta las equiprobables.|Una probabilidad de 1/4 no garantiza un resultado concreto en cuatro nacimientos.|Las probabilidades describen resultados esperables a gran escala bajo ciertas condiciones, no un cupo que deba cumplirse en cada grupo pequeño.
e-motion|Velocidad y aceleración|Física y Química|2-4|velocidad y aceleracion;aceleracion;velocidad media|La velocidad incluye rapidez y dirección; la aceleración mide cómo cambia la velocidad con el tiempo. Puede haber aceleración aunque la rapidez sea constante, si cambia la dirección. En un movimiento rectilíneo uniforme la velocidad es constante y la aceleración es cero.|Ir rápido no es lo mismo que acelerar. Acelerar significa cambiar la velocidad.|En línea recta, pasar de 2 m/s a 8 m/s en 3 s da una aceleración media de (8 − 2)/3 = 2 m/s².|La aceleración media del ejemplo es…~6 m/s²~3 m/s²~2 m/s²~C$Si cambia la dirección aunque no cambie la rapidez…~Puede haber aceleración~La velocidad es idéntica~No hay movimiento~A$En movimiento rectilíneo uniforme, la aceleración es…~Siempre 1 m/s²~Cero~Igual a la distancia~B|Calcula el cambio de velocidad y divídelo entre el tiempo transcurrido.|Rapidez elevada y aceleración elevada no significan lo mismo.|La velocidad es vectorial: cambiar su dirección también la modifica, aunque su módulo permanezca constante.
e-electric|Corriente, tensión y resistencia|Física y Química|3-4|corriente tension y resistencia;electricidad basica;ley de ohm|La corriente mide el paso de carga por unidad de tiempo; la tensión se relaciona con la energía por carga entre dos puntos; la resistencia limita la corriente en un elemento. Para un conductor óhmico bajo condiciones adecuadas, V = I·R. Solo trabajamos con circuitos escolares seguros, nunca con enchufes domésticos.|En una resistencia óhmica, conocer tensión y resistencia permite calcular la corriente: I = V/R.|Con 6 V y una resistencia óhmica de 3 Ω, la corriente es 2 A. Es un cálculo teórico, no una instrucción para manipular instalaciones.|La corriente del ejemplo es…~2 A~18 A~0,5 A~A$La resistencia se mide en…~Voltios~Ohmios~Segundos~B$¿Se debe practicar conectando cables a un enchufe doméstico?~Sí~Solo con las manos secas~No~C|Escribe la relación V = I·R y conserva las unidades.|Tensión y corriente no son la misma magnitud.|La ley de Ohm describe una relación entre magnitudes bajo ciertas condiciones, no una identidad aplicable a cualquier componente.
e-solution|Disoluciones y concentración|Física y Química|2-4|disoluciones;concentracion en masa;soluto y disolvente|Una disolución es una mezcla homogénea de componentes. La concentración en masa puede expresarse como masa de soluto dividida entre volumen de disolución, por ejemplo en g/L. El volumen de disolución no siempre es la suma exacta de los volúmenes iniciales.|Indica cuánto soluto hay por cada volumen de mezcla final, usando unidades claras.|Si 10 g de soluto están en 2 L de disolución, la concentración en masa es 5 g/L. Si añades disolvente sin perder soluto, esa concentración disminuye.|La concentración del ejemplo es…~20 g/L~5 g/L~0,2 g/L~B$Al añadir disolvente sin perder soluto, la concentración en masa…~Disminuye~Aumenta siempre~Se vuelve cero siempre~A$En g/L, el denominador es el volumen de…~Solo soluto~Cualquier recipiente vacío~La disolución final~C|Comprueba si el problema proporciona masa de soluto y volumen de mezcla final.|Cantidad total de soluto y concentración no son sinónimos.|La misma masa puede distribuirse en volúmenes distintos; la concentración compara cantidad de soluto con una cantidad de disolución.
e-bond|Enlaces químicos|Física y Química|3-4|enlace quimico;enlaces ionico covalente y metalico|Los enlaces químicos describen interacciones que mantienen unidos átomos o iones en estructuras. En el modelo básico, el covalente comparte densidad electrónica; el iónico implica atracción entre iones opuestos; el metálico se describe con electrones deslocalizados. No todas las sustancias forman moléculas discretas.|Distingue compartir electrones, atraer iones de carga opuesta y deslocalizar electrones en un metal.|El agua forma moléculas con enlaces covalentes. El cloruro de sodio sólido forma una red de iones, no una colección de pequeñas moléculas independientes de sal.|En un enlace iónico actúan principalmente…~Imanes macroscópicos~Solo neutrones~Atracciones entre iones opuestos~C$El agua presenta enlaces…~Covalentes~Metálicos~Iónicos entre todas sus moléculas~A$El NaCl sólido se describe mejor como…~Un único átomo~Una red iónica~Un gas molecular siempre~B|Relaciona el tipo de interacción con la estructura resultante.|No toda fórmula química representa una molécula aislada.|Las estructuras y fuerzas entre partículas ayudan a explicar propiedades macroscópicas como conductividad y temperatura de fusión.
e-renaissance|El Renacimiento|Geografía e Historia|2-4|renacimiento;humanismo renacentista|El Renacimiento fue un conjunto de transformaciones culturales y artísticas desarrollado en Europa, con importantes focos italianos, entre los siglos XIV y XVI aproximadamente. Recuperó y reinterpretó modelos clásicos. No supuso que todo el mundo europeo cambiara de forma idéntica o dejara de ser religioso.|Se estudiaron textos y formas de la Antigüedad para crear nuevas propuestas, no simplemente copiarlas.|El interés por la proporción, el estudio del cuerpo y la perspectiva influyó en distintas artes. El humanismo promovió el estudio crítico de textos y lenguas clásicas.|El Renacimiento recuperó especialmente modelos de…~La Antigüedad clásica~La Revolución Industrial~La informática~A$El humanismo prestó atención al estudio de…~Solo máquinas de vapor~Textos y lenguas clásicas~Solo estadísticas actuales~B$¿Las transformaciones fueron idénticas en toda Europa?~Sí~Solo en un día concreto~No~C|Sitúa el proceso cultural sin convertirlo en una ruptura total y uniforme.|Renacimiento no significa ausencia de religión ni un cambio simultáneo de toda la sociedad.|Los periodos históricos agrupan tendencias; conviven novedades, continuidades y diferencias regionales.
