e-polynomials|Operar con polinomios|Matemáticas|2-4|polinomios;operar con polinomios;terminos semejantes|Un polinomio en una variable reúne sumas de términos con exponentes enteros no negativos. Para sumar o restar términos, agrupamos los semejantes: tienen la misma parte literal con los mismos exponentes. Multiplicar exige aplicar la propiedad distributiva. No se suman exponentes al sumar términos.|Suma los coeficientes solo cuando la parte con letras sea igual. Para multiplicar, reparte cada término por los del otro factor.|3x + 2x = 5x, pero 3x + 2x² no se reduce a 5x³. Por distributividad, 2(x + 3) = 2x + 6.|3x + 2x es…~5x~5x²~6x~A$2(x + 3) equivale a…~2x + 3~2x + 6~5x~B$¿Qué términos son semejantes?~2x y 2x²~3x y 3y~5x² y −2x²~C|Compara las letras y sus exponentes antes de operar con los coeficientes.|Las reglas de multiplicación de potencias no se aplican como si una suma fuera un producto.|Agrupar términos semejantes usa la distributividad; conservar partes distintas evita alterar el valor de la expresión.
e-identities|Identidades notables|Matemáticas|3-4|identidades notables;cuadrado de una suma;cuadrado de una diferencia|Las identidades notables son igualdades algebraicas válidas para todos los valores de sus variables en el contexto habitual de números reales. El cuadrado de una suma es (a+b)²=a²+2ab+b²; el de una diferencia es (a−b)²=a²−2ab+b². Además, (a+b)(a−b)=a²−b².|Escribe el cuadrado como producto de dos factores iguales y aplica la distributiva. Así aparece el término del medio.|(x+3)²=(x+3)(x+3)=x²+6x+9. No es x²+9, porque también se suman los dos productos cruzados, 3x y 3x.|(x+3)² equivale a…~x²+9~x²+6x+9~x²+3~B$(x+2)(x−2) equivale a…~x²−4~x²+4~x²−2~A$En (a−b)², el término cruzado es…~2ab~−ab~−2ab~C|Multiplica todos los términos para comprobar que no falta ningún producto cruzado.|El cuadrado de una suma no es, en general, la suma de los cuadrados.|Las identidades se deducen de la distributividad y pueden comprobarse sin memorizar fórmulas como reglas aisladas.
e-slope|Pendiente de una recta|Matemáticas|3-4|pendiente de una recta;pendiente y ordenada;funcion afin|En una recta no vertical, la pendiente m es el cociente entre el cambio vertical y el horizontal: Δy/Δx, con Δx distinto de cero. En y=mx+b, b es la ordenada en el origen. Una pendiente positiva indica que y aumenta al aumentar x; una negativa, que disminuye. Una recta vertical no tiene pendiente finita definida así.|Calcula cuánto cambia y por cada unidad que cambia x. No confundas ese ritmo de cambio con el punto donde la recta corta el eje vertical.|Entre (1,3) y (3,7), m=(7−3)/(3−1)=2. En y=2x+1, la pendiente es 2 y la ordenada en el origen es 1.|La pendiente entre (1,3) y (3,7) es…~2~4~1/2~A$En y=3x−2, la ordenada en el origen es…~3~−2~2~B$Una recta vertical tiene…~Pendiente cero~Pendiente uno~Pendiente no definida como cociente finito Δy/Δx~C|Usa diferencias de coordenadas en el mismo orden y comprueba que Δx no sea cero.|La pendiente y la ordenada en el origen describen propiedades diferentes.|La razón de cambios describe la inclinación y permite comparar puntos distintos de una misma recta.
e-circle-measures|Longitud de una circunferencia y área del círculo|Matemáticas|2-4|longitud de circunferencia;area del circulo;circunferencia y circulo|La circunferencia es el contorno; el círculo incluye la región interior. Para radio r, la longitud del contorno es 2πr y el área del círculo es πr². El diámetro vale 2r. Debemos distinguir unidades de longitud y de superficie, y señalar si usamos una aproximación de π.|Pregunta si necesitas el borde o el interior. El borde se mide en centímetros y el área en centímetros cuadrados.|Un círculo de radio 3 cm tiene diámetro 6 cm, circunferencia de longitud 6π cm y área 9π cm². Son tres magnitudes relacionadas, no intercambiables.|Con radio 3 cm, el área es…~6π cm²~9π cm²~3π cm~B$Con radio 4 cm, el diámetro es…~8 cm~2 cm~16 cm~A$La longitud de una circunferencia se expresa, por ejemplo, en…~cm²~cm³~cm~C|Identifica radio, diámetro y la magnitud solicitada antes de elegir la fórmula.|Usar el diámetro como si fuera el radio altera el resultado.|Longitud y área responden a preguntas distintas y crecen de forma diferente al cambiar el tamaño del círculo.
e-sampling|Población y muestra estadística|Matemáticas|3-4|poblacion y muestra;muestreo estadistico;muestra representativa|La población es el conjunto sobre el que queremos obtener información; la muestra es la parte observada. Su selección influye en las conclusiones. Una muestra grande puede seguir siendo sesgada si excluye sistemáticamente a ciertos grupos. La selección aleatoria puede reducir sesgos de selección, sin garantizar por sí sola ausencia de todos los errores.|Antes de contar respuestas, pregunta a quién quieres estudiar y quién pudo participar realmente.|Para conocer cómo llega al colegio todo el alumnado, preguntar solo a quienes aparcan bicicletas deja fuera otras formas de desplazamiento. Aumentar mucho ese mismo grupo no corrige necesariamente la exclusión.|Preguntar solo a quienes llegan en bici para describir a todo el alumnado puede producir…~Una muestra sesgada~Un censo completo~Una garantía de representatividad~A$La población es…~Solo quienes contestaron~El conjunto sobre el que queremos concluir~Siempre una ciudad~B$Aumentar el tamaño de una muestra sesgada…~Elimina siempre todo sesgo~Convierte automáticamente la encuesta en censo~No corrige necesariamente el modo de selección~C|Distingue el conjunto de interés del grupo realmente observado.|Más respuestas no garantizan por sí solas mejores conclusiones si la selección está sesgada.|Las inferencias dependen de cómo se obtienen los datos, además de cuántos se obtienen.
e-histograms|Leer un histograma|Matemáticas|3-4|histogramas;histograma y frecuencias|Un histograma representa datos cuantitativos agrupados en intervalos mediante barras contiguas. Con intervalos de igual amplitud, podemos representar la frecuencia mediante la altura. Si las amplitudes son diferentes, debe atenderse al área de las barras y a la densidad indicada, no comparar alturas como si fueran frecuencias sin más.|Mira primero los intervalos y su anchura. Comprueba qué mide el eje vertical antes de comparar barras.|En intervalos de igual amplitud, una barra de frecuencia 8 representa más datos que una de frecuencia 5. No conocemos por ello todos los valores individuales dentro de cada intervalo.|Con intervalos de igual amplitud y alturas que representan frecuencias, una barra de altura 8 contiene…~5 datos~8 datos~Todos los datos del estudio~B$Antes de comparar barras hay que revisar…~Amplitudes y significado del eje vertical~Solo el color~Solo el título~A$Un histograma agrupado permite conocer siempre cada dato individual exacto…~Sí~Solo si hay dos barras~No~C|Relaciona cada barra con su intervalo y con la escala de frecuencias o densidades.|En intervalos de diferente anchura, una barra más alta no implica por sí sola más observaciones.|Agrupar muestra la distribución de los datos, pero pierde detalle y exige interpretar correctamente las escalas.
e-pressure|La presión|Física y Química|3-4|presion;fuerza y superficie|La presión relaciona la fuerza normal que actúa sobre una superficie con su área. Si se reparte uniformemente, p=F/A. En el Sistema Internacional se mide en pascales: 1 Pa=1 N/m². Con la misma fuerza, una superficie menor da mayor presión en este modelo. Fuerza y presión no son la misma magnitud.|Compara cuánta fuerza se reparte y en qué superficie. No basta mirar solo una de las dos.|Una fuerza normal uniforme de 100 N sobre 2 m² produce 50 Pa. Sobre 1 m², esa misma fuerza produciría 100 Pa.|100 N repartidos uniformemente sobre 2 m² producen…~50 Pa~200 Pa~102 Pa~A$Con la misma fuerza normal, reducir el área aumenta…~La masa necesariamente~La presión media~Siempre la temperatura~B$Un pascal equivale a…~Un metro por segundo~Un newton por metro~Un newton por metro cuadrado~C|Identifica la componente normal de fuerza y expresa el área en unidades compatibles.|Una fuerza grande no determina la presión sin conocer el área sobre la que actúa.|La presión describe cómo se distribuye una acción sobre una superficie, no solo la fuerza total aplicada.
e-heat-temperature|Calor y temperatura|Física y Química|2-4|calor y temperatura;diferencia entre calor y temperatura|La temperatura caracteriza el estado térmico y permite comparar cuerpos. El calor es energía que se transfiere entre sistemas por una diferencia de temperatura; no es una sustancia guardada dentro de ellos. La energía necesaria para cambiar la temperatura depende también de la masa, del material y de si hay cambios de estado.|La temperatura indica el estado térmico; el calor nombra una transferencia de energía. No son dos nombres para lo mismo.|Dos cantidades de agua a 20 °C tienen la misma temperatura. Si una tiene más masa, no por eso debe estar más caliente. Al poner en contacto cuerpos a distinta temperatura, la transferencia espontánea de energía tiende al equilibrio térmico.|El calor es…~Una escala de colores~Energía transferida por diferencia de temperatura~Una unidad de masa~B$Dos porciones de agua a 20 °C tienen…~La misma temperatura~Necesariamente la misma masa~Necesariamente el mismo volumen~A$La energía para elevar la temperatura depende…~Solo del nombre del recipiente~Solo de la hora~También de la masa y del material~C|Distingue una propiedad del estado de una transferencia entre sistemas.|Una masa mayor a la misma temperatura no está necesariamente a mayor temperatura.|Separar magnitudes evita confundir cantidad de materia, estado térmico y energía intercambiada.
e-conservation-reaction|Conservar átomos en una reacción|Física y Química|2-4|conservacion de atomos;ajustar una reaccion;conservacion de la masa en reacciones|En una reacción química ordinaria, los átomos se reorganizan. Ajustamos la ecuación con coeficientes para conservar el número de átomos de cada elemento. No cambiamos los subíndices de una fórmula para ajustarla, porque eso cambiaría la sustancia. En un sistema cerrado se conserva la masa total en este tratamiento químico.|Cuenta cada elemento a ambos lados. Cambia cuántas entidades hay, no qué sustancia representa cada fórmula.|En 2 H₂ + O₂ → 2 H₂O hay cuatro átomos de hidrógeno y dos de oxígeno a cada lado. Es una representación teórica, no una instrucción para mezclar gases.|En 2 H₂ + O₂ → 2 H₂O hay a cada lado…~4 H y 2 O~2 H y 1 O~4 H y 4 O~A$Para ajustar la ecuación modificamos…~Los símbolos de los elementos~Los coeficientes~Los subíndices de cualquier fórmula sin cambiar la sustancia~B$Si un gas escapa de un recipiente abierto, la masa medida del recipiente puede…~Crear materia~Demostrar que desaparecen los átomos~Disminuir por la materia que salió~C|Cuenta átomos por fórmula y multiplica por su coeficiente.|Una pérdida de masa del recipiente abierto no prueba destrucción de materia.|Definir los límites del sistema y conservar cada elemento permite interpretar correctamente los intercambios y las medidas.
e-osmosis|La ósmosis|Biología y Geología|3-4|osmosis;movimiento del agua por membrana|La ósmosis es el movimiento neto de agua a través de una membrana que permite su paso pero restringe ciertos solutos. En un modelo sencillo, con igual presión y temperatura y solutos que no atraviesan la membrana, el agua tiende hacia el lado con mayor concentración efectiva de esos solutos. La presión puede contrarrestar el proceso.|Imagina una membrana que deja pasar agua, pero no el soluto considerado. Observa hacia dónde hay un movimiento neto, no solo moléculas aisladas.|En dos compartimentos a la misma presión separados por una membrana permeable solo al agua, el lado con más soluto no permeante tiende a recibir agua inicialmente. Las condiciones y la presión posterior importan.|En el modelo descrito, lo que atraviesa la membrana durante la ósmosis es…~Siempre todo el soluto~Agua~Una célula completa~B$Para usar esa explicación sencilla hay que considerar…~La permeabilidad de la membrana y las condiciones~Solo el color de la disolución~Solo el tamaño del recipiente~A$La presión puede…~No influir nunca~Convertir el agua en soluto~Contrarrestar el movimiento neto osmótico~C|Identifica qué puede atravesar la membrana y qué solutos quedan restringidos.|No toda membrana deja pasar las mismas sustancias ni toda diferencia de concentración actúa igual.|Las condiciones de permeabilidad y equilibrio explican el movimiento neto; una regla sin esas condiciones puede resultar engañosa.
e-geologic-time|Tiempo geológico y datación relativa|Biología y Geología|4-4|tiempo geologico;datacion relativa;principio de superposicion|La datación relativa ordena acontecimientos sin asignar necesariamente una edad numérica. En una sucesión sedimentaria no invertida, las capas inferiores suelen ser anteriores a las superiores. Una estructura que corta a otra es posterior a la estructura cortada. Debemos reconocer alteraciones, erosión o inversión antes de aplicar reglas.|Ordena qué ocurrió antes y después, pero no inventes una fecha. Comprueba que las capas no estén invertidas.|Si un dique atraviesa varias capas sedimentarias, su formación es posterior a esas capas. Si una secuencia no invertida tiene A debajo de B, A se depositó antes que B.|En capas sedimentarias no invertidas, A está bajo B. El depósito de A es…~Anterior al de B~Posterior siempre~Necesariamente del mismo día~A$Un dique que corta unas capas es…~Anterior a todas ellas por definición~Posterior a las capas que corta~Imposible de ordenar en ningún caso~B$La datación relativa proporciona principalmente…~Siempre una fecha exacta~Siempre una edad en segundos~Un orden temporal~C|Distingue ordenar acontecimientos de calcular una edad absoluta y revisa las condiciones geológicas.|Estar más abajo no basta si la sucesión ha sido invertida o deformada.|Las relaciones geométricas conservan pistas de la historia, pero hay que interpretar también los procesos que las modificaron.
