p-double-half|El doble y la mitad|Matemáticas|2-6|doble y mitad;el doble;la mitad|El doble de una cantidad se obtiene reuniendo dos cantidades iguales a ella. La mitad resulta de repartirla en dos partes iguales y tomar una. Son relaciones distintas: no basta separar en dos grupos si no tienen la misma cantidad. En números naturales, algunas cantidades no se pueden repartir en dos grupos enteros iguales.|Para el doble, junta dos grupos iguales. Para la mitad, reparte en dos grupos iguales y mira uno.|El doble de 6 es 6 + 6 = 12. La mitad de 12 es 6, porque 6 y 6 forman 12. Si los grupos fueran 5 y 7, ninguno sería la mitad de 12.|El doble de 7 es…~9~14~21~B$La mitad de 18 es…~9~8~36~A$¿Qué reparto muestra dos mitades de 10 fichas?~4 y 6~3 y 7~5 y 5~C|Comprueba que las dos partes o los dos grupos sean iguales.|Cualquier reparto en dos grupos no representa necesariamente dos mitades.|El doble repite la misma cantidad dos veces; la mitad recupera una de esas partes iguales.
p-carry-add|Sumar reagrupando decenas|Matemáticas|2-4|sumas con llevadas;sumar reagrupando;reagrupar en una suma|En el sistema decimal, diez unidades equivalen a una decena. Al sumar por columnas, alineamos unidades con unidades y decenas con decenas. Si reunimos diez o más unidades, podemos reagrupar diez como una decena sin cambiar el valor. La llamada llevada representa esa nueva decena.|Cuando las unidades llegan a diez, cambiamos diez unidades por una decena. No aparece un número de la nada.|En 28 + 17, las unidades suman 8 + 7 = 15: una decena y cinco unidades. Las decenas son 2 + 1 + 1 = 4. El resultado es 45.|En 28 + 17, el resultado es…~45~35~315~A$Quince unidades equivalen a…~Una decena y quince unidades~Una decena y cinco unidades~Cinco decenas y una unidad~B$Al sumar por columnas, las unidades se colocan…~Debajo de las decenas siempre~Sin importar la posición~Debajo de las unidades~C|Separa decenas y unidades; la decena reagrupada también debe contarse.|La llevada tiene un valor posicional, no es un uno que pueda colocarse en cualquier columna.|Reagrupar conserva el valor porque sustituye diez unidades por una decena equivalente.
p-sub-borrow|Restar reagrupando decenas|Matemáticas|2-4|restas con llevadas;restar reagrupando;reagrupacion en la resta|Para restar por columnas podemos descomponer una decena en diez unidades. El número no cambia: se representa de otra forma. Si no hay suficientes unidades en esa columna, el intercambio permite continuar. Es importante ajustar también las decenas para no contar dos veces la misma cantidad.|Cambia una decena por diez unidades. Tendrás una decena menos y diez unidades más, pero el mismo número.|En 42 − 17, escribimos 42 como tres decenas y doce unidades. Restamos 12 − 7 = 5 y 3 − 1 = 2 decenas. Resultado: 25.|El resultado de 42 − 17 es…~35~25~31~B$Cuatro decenas y dos unidades equivalen a…~Tres decenas y doce unidades~Cuatro decenas y doce unidades~Dos decenas y tres unidades~A$Para comprobar 42 − 17 = 25 podemos calcular…~42 + 25~25 − 17~25 + 17~C|Al convertir una decena en diez unidades, reduce en una la columna de decenas.|No se puede añadir diez unidades sin ajustar la decena intercambiada.|La resta funciona con representaciones equivalentes del mismo número y se puede comprobar mediante la suma.
p-estimate|Estimar un resultado|Matemáticas|3-6|estimar resultados;estimacion de resultados;calculo aproximado|Estimar consiste en obtener un resultado aproximado útil para una finalidad. Podemos redondear cantidades para calcular con rapidez y comprobar si un resultado exacto es razonable. La estimación no se presenta como igualdad exacta y su precisión debe ajustarse a la situación.|Cambia los números por otros cercanos y fáciles. Recuerda que el resultado será aproximado.|Para estimar 198 + 304, usamos 200 + 300 = 500. La suma exacta es 502. Decimos que es aproximadamente 500, no que 198 + 304 sea exactamente 500.|Redondeando a centenas, 198 + 304 es aproximadamente…~500~50~5.000~A$Una estimación es…~Siempre idéntica al resultado exacto~Un valor aproximado útil~Una respuesta sin relación con los datos~B$Si una suma cercana a 200 + 300 da 5.020, conviene…~Aceptarla solo porque tiene cifras~Redondearla a diez mil~Revisar el cálculo~C|Compara el tamaño de los datos y señala cuándo usas una aproximación.|El signo de igualdad no debe sustituir a «aproximadamente» cuando los valores son distintos.|Una aproximación facilita comprobar órdenes de magnitud sin confundir rapidez con exactitud.
p-divisibility|Criterios de divisibilidad|Matemáticas|5-6|criterios de divisibilidad;divisibilidad por dos tres cinco y diez|Un número natural es divisible por otro cuando la división es exacta. Es divisible por 2 si acaba en cifra par; por 5 si acaba en 0 o 5; por 10 si acaba en 0. Para el 3, sumamos sus cifras y comprobamos si esa suma es múltiplo de 3. Cada criterio corresponde a un divisor concreto.|Mira la última cifra para 2, 5 y 10. Para 3, suma las cifras y comprueba la suma.|El 246 es divisible por 2 porque termina en 6, y por 3 porque 2 + 4 + 6 = 12. No es divisible por 5 ni por 10. El 135 sí es divisible por 3 y por 5.|¿Cuál es divisible por 10?~145~150~152~B$El 123 es divisible por 3 porque…~1 + 2 + 3 = 6, múltiplo de 3~Termina en 3 y eso siempre basta~Tiene tres cifras y eso siempre basta~A$¿Cuál es divisible por 5 pero no por 2?~120~140~135~C|Elige el criterio del divisor que te preguntan y no lo intercambies con otro.|Tener tres cifras no implica ser divisible por 3.|Los criterios son propiedades del sistema decimal que permiten comprobar divisiones sin realizarlas completas.
p-fraction-quantity|Una fracción de una cantidad|Matemáticas|4-6|fraccion de una cantidad;calcular una fraccion de un numero|Para calcular una fracción de una cantidad, dividimos la cantidad entre el denominador y multiplicamos el resultado por el numerador. El denominador indica cuántas partes iguales hacemos; el numerador, cuántas tomamos. Debemos mantener claro cuál es el total de referencia.|Reparte el total en tantas partes iguales como indica el denominador. Después toma las partes que marca el numerador.|Tres cuartos de 20 son 20 ÷ 4 × 3 = 15. Cada cuarto vale 5 y tomamos tres: 5 + 5 + 5 = 15.|Tres cuartos de 20 son…~15~5~60~A$Dos tercios de 18 son…~9~12~27~B$Al calcular un quinto de 30, el total de referencia es…~5~1~30~C|Divide primero para hallar una parte y después cuenta cuántas partes necesitas.|El denominador no indica directamente cuántos objetos debes quitar.|La fracción relaciona una parte con un total; dos cantidades distintas pueden tener la misma fracción y dar partes diferentes.
p-decimal-add|Sumar números decimales|Matemáticas|4-6|sumar decimales;suma de numeros decimales|Al sumar decimales, reunimos unidades del mismo orden: unidades con unidades, décimas con décimas y centésimas con centésimas. En columnas, alineamos las comas. Podemos añadir ceros a la derecha de la parte decimal sin cambiar el valor, para ver mejor los órdenes que faltan.|Coloca las comas una debajo de otra. Un cero final puede ayudarte: 2,4 y 2,40 valen lo mismo.|Para 2,4 + 0,35 escribimos 2,40 + 0,35 = 2,75. No alineamos solo el último dígito: importan las posiciones respecto a la coma.|2,4 + 0,35 es…~2,39~2,75~5,9~B$¿Cuál tiene el mismo valor que 3,5?~3,50~3,05~35,0~A$Para sumar decimales por columnas alineamos…~Solo la última cifra~Los números por su longitud~Las comas y los órdenes decimales~C|Identifica décimas y centésimas antes de sumar.|Tener más cifras decimales no significa automáticamente ser mayor.|La suma exige unidades comparables; el valor posicional permite reunir partes del mismo tamaño.
p-double-entry|Leer una tabla de doble entrada|Matemáticas|3-6|tabla de doble entrada;tablas de doble entrada|Una tabla de doble entrada organiza información mediante filas y columnas. Para leer una casilla identificamos ambas etiquetas y buscamos su cruce. Antes de sumar datos, comprobamos qué representan y si los grupos se solapan. Una casilla no describe necesariamente toda la tabla.|Busca una etiqueta de fila y una de columna. La respuesta está en el lugar donde se cruzan.|Una tabla registra libros: fila lunes, columna cuentos, 4; lunes, poesía, 2; martes, cuentos, 3; martes, poesía, 1. El martes se registró un libro de poesía.|En una tabla, el lunes tiene 4 cuentos y 2 libros de poesía. ¿Cuántos libros se registraron ese lunes en total, sin repeticiones?~6~4~2~A$La casilla de martes y poesía se localiza cruzando…~Dos filas cualesquiera~La fila martes y la columna poesía~Solo el título~B$Si una casilla dice «martes, cuentos: 3», el 3 representa…~Todos los libros de la semana~Solo los poemas del lunes~Los cuentos registrados el martes~C|Lee las dos etiquetas antes de interpretar el número de la casilla.|Un dato de una casilla no representa por sí solo el total de una fila o de la tabla.|Las dos entradas precisan qué grupo y qué categoría se están describiendo a la vez.
p-grid-coordinates|Coordenadas en una cuadrícula|Matemáticas|5-6|coordenadas en cuadricula;coordenadas cartesianas basicas;pares ordenados|En una cuadrícula cartesiana, un punto se localiza con un par ordenado (x, y). Desde el origen, la primera coordenada indica la posición horizontal y la segunda, la vertical. Hay que comprobar la escala y el sentido de los ejes. Cambiar el orden suele cambiar el punto.|Lee primero x y después y. En la cuadrícula habitual, avanzas horizontalmente y luego verticalmente.|Con ejes de unidad en unidad y sentidos positivos hacia la derecha y arriba, (3, 2) está tres unidades a la derecha y dos arriba del origen. No es el mismo punto que (2, 3).|En (3, 2), la coordenada horizontal es…~2~3~5~B$Con los ejes habituales, dos unidades a la derecha y cuatro arriba del origen corresponden a…~(2, 4)~(4, 2)~(2, 2)~A$Antes de contar cuadros debemos comprobar…~Solo su color~Solo el tamaño de la hoja~La escala de los ejes~C|Mantén el orden horizontal-vertical y utiliza la escala indicada.|Un cuadro no tiene que representar siempre una unidad.|Un par ordenado fija dos referencias independientes; su orden y su escala forman parte de la información.
p-mass-units|Gramos y kilogramos|Matemáticas|3-6|gramos y kilogramos;unidades de masa;gramos y kilos|El gramo y el kilogramo son unidades de masa. Un kilogramo equivale a 1.000 gramos. Para pasar de kilogramos a gramos multiplicamos por 1.000; para volver, dividimos por 1.000. Al comparar o sumar masas, conviene expresarlas en la misma unidad.|Recuerda la equivalencia: 1 kg = 1.000 g. Cambia la unidad, no la cantidad de material.|Una masa de 2 kg y 300 g equivale a 2.300 g. Una masa de 500 g equivale a 0,5 kg. No sumamos 2 y 300 como si sus unidades fueran iguales.|2 kg y 300 g equivalen a…~2.300 g~302 g~23 g~A$500 g equivalen a…~5 kg~0,5 kg~50 kg~B$Antes de sumar 1 kg y 250 g conviene…~Ignorar las unidades~Sumar solo 1 + 250~Expresar ambas masas en una misma unidad~C|Escribe primero cuántos gramos representa cada kilogramo.|Un número mayor con otra unidad no indica necesariamente una masa mayor.|Las equivalencias permiten comparar medidas de la misma magnitud sin cambiar lo que se está midiendo.
p-singular-plural|Singular y plural|Lengua Castellana y Literatura|1-3|singular y plural;numero del sustantivo|En usos sencillos, el singular se refiere a una unidad y el plural a varias. Muchas palabras forman el plural añadiendo -s o -es, pero existen formas especiales. Las palabras que acompañan al sustantivo deben concordar con él cuando corresponde. Miramos la frase completa.|Un libro y dos libros no se escriben igual. Comprueba también las palabras que los acompañan.|Decimos «la casa blanca» y «las casas blancas». En este ejemplo cambian el artículo, el sustantivo y el adjetivo para mantener la concordancia.|El plural de «libro» es…~Libres~Libros~Libra~B$¿Qué grupo está bien escrito?~Las casas blancas~Las casa blanco~La casas blancas~A$En «un árbol» hablamos de…~Varios árboles~Ningún árbol~Un árbol~C|Observa si la frase habla de uno o de varios y revisa la concordancia.|No todos los plurales se forman de la misma manera.|La concordancia ayuda a relacionar las palabras que forman un mismo grupo dentro de la oración.
