e-integers|Números enteros|Matemáticas|1-4|numeros enteros;enteros;negativos|Los enteros incluyen negativos, cero y positivos. En la recta numérica, un número situado más a la derecha es mayor. Para sumar un negativo puedes desplazarte a la izquierda.|Los negativos están a la izquierda del cero. Entre −2 y −5, −2 está más a la derecha y es mayor.|Partiendo de 3, sumar −5 significa moverte cinco unidades a la izquierda: llegas a −2.|¿Cuál es mayor?~−5~−2~−8~B$3 + (−5) es…~−2~2~8~A$El opuesto de −7 es…~−14~0~7~C|Dibuja una recta y sitúa el cero.|El entero con mayor valor absoluto no es siempre el mayor.|El orden depende de la posición, mientras que el valor absoluto mide la distancia al cero.
e-equation|Ecuaciones de primer grado|Matemáticas|1-4|ecuaciones de primer grado;ecuacion lineal;ecuaciones lineales|Una ecuación afirma que dos expresiones tienen el mismo valor. Resolverla es encontrar el valor de la incógnita que hace verdadera esa igualdad. Puedes operar en ambos miembros de forma equivalente para conservarla.|Piensa en una balanza: cambia ambos lados de la misma manera para que sigan equilibrados.|En 2x + 3 = 11, restamos 3 en ambos lados: 2x = 8. Después dividimos ambos por 2: x = 4.|La solución de x + 5 = 9 es…~14~5~4~C$Para conservar una igualdad al restar 3, lo hacemos…~En ambos miembros~Solo a la izquierda~Solo a la derecha~A$¿Cómo comprobamos una solución?~Mirando solo el signo~Sustituyendo en la ecuación original~Sumando todos los números~B|Deshaz las operaciones en orden inverso y conserva la igualdad.|«Pasar cambiando de signo» es una abreviatura, no una regla mágica sin operación equivalente.|Las transformaciones equivalentes conservan el conjunto de soluciones cuando cumplen sus condiciones.
e-powers|Potencias|Matemáticas|1-4|potencias;potencia;exponentes|Una potencia con exponente natural expresa un producto repetido de la base. En a elevado a n, n indica cuántos factores iguales a a se multiplican. No significa multiplicar base por exponente.|2³ significa multiplicar tres factores iguales: 2 × 2 × 2. No significa hacer 2 × 3.|3² = 3 × 3 = 9. Para una base distinta de cero, a⁰ = 1.|El resultado de la potencia 2³ es…~8~6~9~A$5² significa…~5 + 5~5 × 2~5 × 5~C$Para a distinto de cero, a⁰ vale…~0~1~a~B|Escribe el producto completo antes de calcular.|El exponente no es un factor que multiplicas directamente por la base.|Las reglas de potencias condensan cómo se agrupan productos de factores iguales.
e-proportionality|Proporcionalidad directa|Matemáticas|1-4|proporcionalidad directa;proporciones|Dos magnitudes son directamente proporcionales si una se obtiene multiplicando la otra por una constante. Al duplicar una, se duplica la otra. Que ambas aumenten no basta para demostrar proporcionalidad.|Busca si el cociente entre las cantidades correspondientes es siempre el mismo.|Si cada cuaderno cuesta 3 €, 2 cuestan 6 € y 5 cuestan 15 €, sin descuentos ni gastos fijos.|Con precio fijo de 4 € por pieza, 3 piezas cuestan…~7 €~12 €~1 €~B$En proporcionalidad directa, al duplicar una magnitud la otra…~Se duplica~Se divide siempre por dos~No cambia~A$¿Basta con que ambas aumenten?~Sí~Solo si son positivas~No~C|Calcula cuánto corresponde a una unidad.|Una relación con una cuota fija inicial no suele ser proporcional directa.|La constante de proporcionalidad permite expresar la relación como y = kx.
e-pythagoras|Teorema de Pitágoras|Matemáticas|2-4|pitagoras;teorema de pitagoras|En un triángulo rectángulo, el cuadrado de la hipotenusa es igual a la suma de los cuadrados de los catetos. La hipotenusa está enfrente del ángulo recto y es el lado más largo. Comprueba primero que el triángulo sea rectángulo.|Si los catetos son a y b y la hipotenusa c, entonces a² + b² = c².|Con catetos 3 y 4, c² = 9 + 16 = 25; como es una longitud positiva, c = 5.|Con catetos 6 y 8, la hipotenusa mide…~14~2~10~C$El teorema se aplica directamente a triángulos…~Rectángulos~De cualquier tipo~Solo equiláteros~A$La hipotenusa está…~Junto al ángulo más pequeño siempre~Frente al ángulo recto~En el interior del triángulo~B|Identifica la hipotenusa antes de sustituir los valores.|No sumes las longitudes de los catetos para obtener la hipotenusa.|La relación se establece entre áreas de cuadrados construidos sobre los lados, no entre sus longitudes sin elevar al cuadrado.
e-functions|Las funciones|Matemáticas|2-4|funciones;funcion matematica|Una función asigna a cada valor permitido de entrada un único valor de salida. El dominio reúne las entradas admitidas. Una fórmula, tabla o gráfica puede describir la misma relación.|Cada entrada tiene una sola salida, aunque distintas entradas puedan tener la misma salida.|En f(x) = 2x + 1, la entrada 3 produce 7. La entrada 0 produce 1.|Si f(x) = 2x + 1, f(4) vale…~8~9~5~B$Cada entrada admitida debe tener…~Una única salida~Todas las salidas posibles~Ninguna salida~A$El dominio contiene…~Solo los resultados~Los nombres de los ejes~Las entradas permitidas~C|Sustituye la variable por el valor de entrada.|Dos entradas pueden compartir salida sin dejar de ser una función.|La unicidad se exige por entrada, no por salida: una misma entrada no puede producir dos salidas diferentes dentro de la misma función.
e-probability|Probabilidad|Matemáticas|1-4|probabilidad;probabilidades|La probabilidad mide la posibilidad de un suceso. Si todos los resultados elementales son igual de probables, se calcula dividiendo casos favorables entre casos posibles. Un resultado más probable no es seguro.|Cuenta primero las opciones posibles y después las que cumplen lo pedido, solo si todas tienen la misma posibilidad.|En un dado equilibrado, obtener un número par tiene probabilidad 3/6 = 1/2.|En un dado equilibrado, obtener un 6 tiene probabilidad…~1/2~1~1/6~C$La probabilidad de un suceso imposible es…~0~1~2~A$La regla casos favorables/casos posibles exige…~Resultados todos distintos de cero~Resultados elementales equiprobables~Que el suceso sea seguro~B|Comprueba la equiprobabilidad antes de contar.|Una probabilidad alta no garantiza que el suceso ocurra en un intento.|La probabilidad describe incertidumbre; las frecuencias observadas pueden variar en muestras pequeñas.
e-cell|La célula|Biología y Geología|1-4|celula;celulas;la celula|La célula es la unidad estructural y funcional básica de los seres vivos. Las células tienen membrana plasmática, material genético y un medio interno donde ocurren procesos. Las eucariotas tienen núcleo; las procariotas no tienen un núcleo delimitado por membrana.|Los seres vivos están formados por células. Algunas tienen núcleo y otras no.|Una bacteria es un organismo procariota; una célula de una hoja es eucariota y suele tener pared celular y cloroplastos.|¿Qué tipo tiene núcleo delimitado por membrana?~Eucariota~Procariota~Todas sin excepción~A$Una bacteria es normalmente…~Un tejido~Una célula sin material genético~Un organismo procariota~C$¿Qué estructura delimita una célula?~Solo el núcleo~La membrana plasmática~La atmósfera~B|Distingue tener material genético de tener núcleo.|Las procariotas tienen material genético aunque carezcan de núcleo membranoso.|El núcleo es una forma de organizar el ADN, no un requisito para que exista una célula.
e-atoms|Átomos y moléculas|Física y Química|2-4|atomos y moleculas;atomos;moleculas|Un átomo es una unidad de un elemento químico. Tiene núcleo con protones y, normalmente, neutrones; los electrones ocupan regiones alrededor del núcleo. Una molécula reúne átomos enlazados. No todas las sustancias están formadas por moléculas discretas.|Un átomo pertenece a un elemento; una molécula puede unir varios átomos.|H₂O indica una molécula con dos átomos de hidrógeno y uno de oxígeno. No significa dos moléculas de agua.|Una molécula de H₂O contiene…~Dos oxígenos y un hidrógeno~Dos hidrógenos y un oxígeno~Solo hidrógeno~B$La carga del protón es…~Positiva~Negativa~Nula siempre~A$¿Toda sustancia está hecha de moléculas discretas?~Sí~Solo las sólidas~No~C|Separa elemento, átomo y molécula.|Un átomo no es una pequeña esfera con órbitas planetarias exactas.|Las fórmulas muestran proporciones y composición; su interpretación depende del tipo de sustancia.
e-density|La densidad|Física y Química|1-4|densidad;masa y volumen|La densidad relaciona masa y volumen: densidad = masa/volumen. Describe cuánta masa corresponde a cada unidad de volumen. Compara valores usando las mismas unidades y teniendo en cuenta las condiciones.|Dos objetos del mismo volumen pueden tener distinta masa; el más masivo tiene mayor densidad media.|Si una muestra tiene masa 20 g y volumen 10 cm³, su densidad es 2 g/cm³.|20 g en 10 cm³ dan una densidad de…~200 g/cm³~10 g/cm³~2 g/cm³~C$La densidad relaciona…~Masa y volumen~Tiempo y velocidad~Longitud y temperatura solamente~A$Si duplicas masa y volumen de una muestra homogénea…~La densidad se duplica~La densidad se conserva~La densidad se hace cero~B|Divide la masa por el volumen y conserva las unidades.|Masa, peso y densidad no son la misma magnitud.|La densidad es una razón: aumentar la cantidad de la misma sustancia no cambia esa razón bajo las mismas condiciones.
e-force|Las fuerzas|Física y Química|2-4|fuerzas;la fuerza;fuerza y movimiento|Una fuerza es una interacción que puede cambiar el movimiento o deformar un cuerpo. La fuerza neta es la suma vectorial de las fuerzas. Si es cero, un cuerpo puede estar en reposo o moverse con velocidad constante.|No hace falta una fuerza neta para mantener una velocidad constante; sí para cambiarla.|Un libro apoyado en una mesa recibe su peso hacia abajo y la fuerza de la mesa hacia arriba. Si se equilibran, no acelera.|La unidad de fuerza del SI es…~Newton~Julio~Vatio~A$Con fuerza neta cero, un cuerpo puede…~Solo estar parado~Acelerar siempre~Mantener velocidad constante~C$La fuerza neta es…~La mayor fuerza sin más~La suma vectorial de las fuerzas~Siempre el peso~B|Dibuja todas las fuerzas y sus direcciones.|Movimiento y fuerza neta no son equivalentes.|La aceleración responde a la fuerza neta; el estado de movimiento no necesita cambiar si esta es cero.
