e-reaction|Reacciones químicas|Física y Química|2-4|reacciones quimicas;reaccion quimica|En una reacción química se transforman unas sustancias, reactivos, en otras, productos. Los átomos se reorganizan y, en las reacciones químicas ordinarias, se conserva el número de átomos de cada elemento. Ajustar una ecuación respeta esa conservación.|Los átomos se recombinan: no se inventan ni desaparecen durante una reacción química ordinaria.|2 H₂ + O₂ → 2 H₂O conserva cuatro átomos de hidrógeno y dos de oxígeno a cada lado.|Las sustancias iniciales se llaman…~Productos~Disolventes siempre~Reactivos~C$En 2 H₂ + O₂ → 2 H₂O hay a cada lado…~4 H y 2 O~2 H y 4 O~1 H y 1 O~A$Ajustar cambia principalmente…~Los símbolos de los elementos~Los coeficientes~La identidad de los átomos~B|Cuenta cada elemento en ambos miembros.|Cambiar un subíndice puede cambiar la sustancia; no es el método para ajustar.|Los coeficientes indican cantidades relativas de partículas sin alterar su composición.
e-tectonics|Tectónica de placas|Biología y Geología|3-4|tectonica de placas;placas tectonicas|La litosfera terrestre está dividida en placas que se mueven lentamente sobre regiones más deformables del manto superior. Sus interacciones ayudan a explicar muchos terremotos, volcanes y cordilleras. Las placas no son solo continentes.|La superficie rígida forma piezas móviles que incluyen partes continentales y oceánicas.|Cuando dos placas convergen, puede haber subducción o colisión continental, según los tipos de litosfera implicados.|Las placas forman parte de la…~Litosfera~Atmósfera~Hidrosfera únicamente~A$¿Una placa contiene solo continente?~Siempre~Solo en Europa~No necesariamente~C$Dos placas que se acercan tienen un límite…~Divergente~Convergente~Sin movimiento~B|Relaciona el movimiento relativo con el tipo de límite.|El manto no es un océano global de roca totalmente líquida.|Las rocas del manto pueden deformarse y fluir muy lentamente aunque sean mayoritariamente sólidas.
e-middle-ages|La Edad Media|Geografía e Historia|1-4|edad media;la edad media|La Edad Media es una periodización de la historia europea. Se sitúa convencionalmente entre la caída del Imperio romano de Occidente en 476 y finales del siglo XV; se usan hitos como 1453 o 1492 según el enfoque. No describe de la misma forma la historia de todo el mundo.|Es una etapa histórica de unos mil años en Europa. Las fechas son referencias para organizar procesos, no cambios instantáneos.|476 marca una referencia política; 1492 suele utilizarse en la enseñanza española como cierre convencional. La vida social no cambió toda en un solo día.|476 se asocia con…~La Revolución francesa~La caída del Imperio romano de Occidente~La llegada del ferrocarril~B$Las fechas de una periodización son…~Referencias convencionales~Fronteras instantáneas para toda sociedad~Leyes físicas~A$¿La Edad Media europea describe igual toda la historia mundial?~Sí~Solo desde 1492~No~C|Distingue una convención cronológica de un proceso histórico.|No presentes 1492 como la única fecha académicamente posible.|Las periodizaciones son herramientas: destacan ciertos procesos y deben explicitar su ámbito geográfico y sus criterios.
e-industrial|La Revolución Industrial|Geografía e Historia|3-4|revolucion industrial;industrializacion|La Revolución Industrial fue un proceso de transformación económica y social iniciado en Gran Bretaña en la segunda mitad del siglo XVIII. La mecanización, nuevas fuentes de energía y el sistema fabril modificaron producción, transportes y trabajo. Su difusión fue desigual.|Se pasó progresivamente de muchas tareas manuales a una producción mecanizada en fábricas, con importantes cambios sociales.|La máquina de vapor permitió accionar maquinaria y, después, impulsar transportes; no fue el único factor del cambio.|El inicio se sitúa principalmente en…~Gran Bretaña~La Antártida~El Imperio romano~A$Fue un proceso…~Instantáneo~Igual en todos los países~Desigual y prolongado~C$El sistema fabril se relaciona con…~Eliminar toda máquina~Concentrar producción y trabajo en fábricas~Producir solo para autoconsumo~B|Relaciona tecnología, energía, capital, trabajo y sociedad.|Una sola invención no explica por sí sola toda la industrialización.|Las innovaciones actúan junto con recursos, instituciones, mercados y cambios sociales.
e-climate|Tiempo y clima|Geografía e Historia|1-4|tiempo y clima;diferencia entre tiempo y clima|El tiempo atmosférico describe las condiciones de la atmósfera en un lugar y momento. El clima caracteriza sus patrones y variabilidad durante períodos largos, habitualmente de varias décadas. Un día concreto no basta para definir el clima.|Tiempo es lo que ocurre ahora; clima es cómo suelen variar esas condiciones a lo largo de muchos años.|«Hoy llueve» describe el tiempo. «Los veranos suelen ser secos» describe un rasgo climático de un lugar.|«Hoy hay 15 °C» describe…~El clima completo~El tiempo~La latitud~B$Para estudiar el clima necesitamos…~Series de muchos años~Solo el día más cálido~Una fotografía~A$Un día frío…~Demuestra por sí solo enfriamiento global~Define todo un clima~No basta para concluir una tendencia climática~C|Pregunta si el dato se refiere a un momento o a una serie prolongada.|No confundas la variabilidad diaria con una tendencia a largo plazo.|El clima se describe estadísticamente; los días particulares pueden apartarse de sus valores habituales.
e-sources|Fuentes históricas|Geografía e Historia|1-4|fuentes historicas;fuentes primarias y secundarias|Una fuente histórica aporta información para investigar el pasado. Una fuente primaria procede del contexto estudiado; una secundaria lo analiza posteriormente. Hay que valorar autoría, fecha, finalidad, contexto y límites, y contrastar fuentes.|Una carta de la época y un estudio actual pueden informar del pasado de formas diferentes.|Una carta de 1910 puede ser primaria para estudiar su época; un libro de un historiador que la analiza es una fuente secundaria.|Una carta de la época estudiada suele ser…~Una fuente primaria~Siempre una mentira~Una fuente secundaria por definición~A$¿Qué conviene hacer con una fuente?~Creerla sin contexto~Ignorar quién la hizo~Analizarla y contrastarla~C$Una fuente primaria…~Siempre es neutral~También puede tener sesgos~No necesita fecha~B|Pregunta quién produjo la fuente y con qué propósito.|Primaria no significa automáticamente verdadera, completa o neutral.|Cada fuente refleja una perspectiva; contrastarlas ayuda a justificar interpretaciones con pruebas.
e-text|Coherencia y cohesión|Lengua Castellana y Literatura|1-4|coherencia y cohesion;coherencia textual;cohesion textual|La coherencia hace que las ideas formen un sentido global y no se contradigan sin explicación. La cohesión relaciona las partes mediante conectores, referencias, elipsis y otros recursos. Un texto puede tener conectores y aun así ser incoherente.|Coherencia es que las ideas encajen; cohesión es cómo enlazas sus partes.|«Estudié el tema. Por eso pude explicarlo» conecta una causa con una consecuencia. El conector debe corresponder a la relación real.|Los conectores contribuyen principalmente a…~La ortografía de todas las palabras~La cohesión~El tamaño del texto~B$La coherencia exige…~Sentido global entre las ideas~Muchos conectores sin criterio~Solo frases largas~A$Un texto con conectores puede ser…~Siempre perfecto~Siempre argumentativo~Incoherente~C|Comprueba primero la relación entre ideas y luego el recurso que las une.|Añadir conectores no repara por sí solo una contradicción.|Los mecanismos lingüísticos deben expresar relaciones que tengan sentido, no sustituirlas.
e-metaphor|Metáfora y comparación|Lengua Castellana y Literatura|1-4|metafora y comparacion;metafora;simil|Una metáfora presenta una realidad en términos de otra por una relación de semejanza, sin formular necesariamente una comparación explícita. Un símil hace explícita esa comparación, a menudo con «como». Hay que interpretarlos en contexto.|«Tus ojos son estrellas» es una metáfora. «Tus ojos brillan como estrellas» es una comparación explícita.|La imagen de estrellas sugiere brillo; no afirma que haya astros físicamente en los ojos.|«Corre como el viento» es un…~Símil~Artículo~Número~A$Una metáfora debe interpretarse…~Siempre literalmente~Sin leer el texto~En contexto~C$«El tiempo es oro» sugiere que el tiempo…~Es un metal~Es valioso~Pesa igual que el oro~B|Busca qué cualidad relaciona las dos realidades.|El lenguaje figurado no se interpreta siempre como una afirmación literal.|La semejanza seleccionada crea un significado que el contexto ayuda a precisar.
e-present|Present simple|Lengua Extranjera: Inglés|1-4|present simple;presente simple en ingles|El present simple se utiliza, entre otros usos, para hábitos y hechos generales. En afirmativa, he, she e it suelen añadir -s o -es al verbo. En preguntas y negativas con verbos léxicos usamos do o does; el verbo principal vuelve a la forma base.|«She plays» lleva -s, pero «Does she play?» no la lleva en play.|«He reads every day». Pregunta: «Does he read every day?». Negativa: «He does not read every day».|Completa: She ___ tennis.~Play~Playing~Plays~C$¿Qué pregunta es correcta?~Does he work?~Does he works?~Do he works?~A$En «She does not eat», eat está en…~Pasado~Forma base~Participio~B|Mira si does ya expresa la tercera persona.|No pongas la marca de tercera persona a la vez en does y en el verbo principal.|El auxiliar lleva la marca gramatical de persona; el verbo principal se mantiene en su forma base.
e-algorithm|Los algoritmos|Tecnología y Digitalización|1-4|algoritmos;algoritmo;pensamiento computacional|Un algoritmo es una secuencia precisa de pasos para resolver una tarea o problema. Puede incluir decisiones y repeticiones. Debe indicar qué datos necesita y qué resultado se espera, y debe comprobarse con casos diferentes.|Escribe pasos claros que otra persona o una máquina pueda seguir sin adivinar.|Para decidir si un entero es par: calcula el resto de dividirlo entre 2; si es 0, es par; en caso contrario, es impar.|Un algoritmo necesita pasos…~Precisos~Ambiguos siempre~Aleatorios sin finalidad~A$Una condición permite…~Solo repetir texto~Guardar cualquier contraseña~Elegir entre acciones~C$Probar varios casos ayuda a…~Garantizar perfección absoluta~Encontrar errores y límites~Eliminar los datos~B|Define entrada, pasos y salida.|Que un programa funcione una vez no demuestra que sea correcto para todos los casos.|Los casos límite revelan errores que no aparecen con ejemplos habituales.
e-digital|Privacidad digital|Tecnología y Digitalización|1-4|privacidad digital;datos personales;seguridad digital|La privacidad digital consiste en controlar cómo se usan y comparten los datos personales. Antes de publicar, piensa quién podrá acceder y para qué. Usa contraseñas robustas y diferentes y pide ayuda a un adulto de confianza ante solicitudes sospechosas.|No hace falta compartir dirección, contraseñas o ubicación exacta para aprender en línea.|Un mensaje que pide tu contraseña para darte un premio es una señal de alerta. No la envíes; verifica por un canal de confianza.|¿Qué dato no debes enviar por chat a un desconocido?~El resultado de una suma~Tu contraseña~El título de un libro~B$Ante un mensaje sospechoso conviene…~Parar y verificar con ayuda~Responder deprisa~Abrir todos los enlaces~A$Una contraseña para todas las cuentas…~Siempre es lo más seguro~Nunca puede filtrarse~Aumenta el riesgo si se filtra~C|Comparte solo los datos necesarios y verifica la identidad por otra vía.|Un logotipo conocido no prueba que un mensaje sea auténtico.|La apariencia se puede copiar; la verificación debe basarse en el origen y no solo en el diseño.
