p-multiples|Múltiplos y divisores|Matemáticas|4-6|multiplos y divisores;multiplos;divisores|Un múltiplo de un número natural se obtiene multiplicándolo por otro natural. Un divisor positivo divide a otro número exactamente, sin resto. Son dos formas de mirar una misma multiplicación.|Si 3 por 4 da 12, entonces 12 es múltiplo de 3, y 3 es divisor de 12.|Los números 6, 12 y 18 son múltiplos de 6. El 4 es divisor de 20 porque 20 ÷ 4 = 5.|¿Cuál es múltiplo de 6?~18~14~17~A$¿Cuál es divisor de 20?~3~4~6~B$Si 5 × 7 = 35, entonces…~35 divide a 5~7 es múltiplo de 35~5 divide exactamente a 35~C|Comprueba la relación con una multiplicación.|Múltiplo y divisor no se intercambian sin cambiar qué número tomas como referencia.|La divisibilidad conecta un producto con las divisiones exactas que lo deshacen.
p-even|Números pares e impares|Matemáticas|2-6|pares e impares;pares;impares|Un natural es par si se puede organizar en parejas sin que sobre ninguno; es divisible entre 2. Es impar si sobra uno. Los pares terminan en 0, 2, 4, 6 u 8. El cero también es par.|Haz parejas. Si no sobra ningún objeto, la cantidad es par; si sobra uno, es impar.|Con 8 fichas haces cuatro parejas. Con 9, haces cuatro parejas y sobra una.|¿Cuál es par?~17~24~31~B$¿Cuál es impar?~13~20~8~A$El cero es…~Impar~Ni par ni impar~Par~C|Mira la cifra de las unidades o prueba a hacer parejas.|Ser par no significa ser primo.|La división entre 2 distingue los números que tienen resto cero de los que tienen resto uno.
p-rounding|Redondear números|Matemáticas|3-6|redondeo;redondear|Redondear aproxima un número a una posición elegida. Para redondear a decenas, busca las dos decenas más cercanas y elige la más próxima; en el empate escolar se suele escoger la superior. La aproximación no es una igualdad exacta.|Pregunta primero: ¿a unidades, decenas o centenas? Después busca el vecino más cercano de ese tipo.|47 está entre 40 y 50; está más cerca de 50. Redondeado a decenas, 47 se aproxima a 50.|47 redondeado a decenas es…~50~40~47~A$152 redondeado a centenas es…~200~100~150~A$Redondear suele dar…~El valor exacto siempre~Una resta~Una aproximación~C|Compara las distancias a los dos valores vecinos.|La posición a la que redondeas cambia el resultado.|Una aproximación conserva la precisión necesaria para un objetivo sin mantener todas las cifras.
p-order-ops|Orden de las operaciones|Matemáticas|5-6|operaciones combinadas;orden de operaciones|En una expresión resolvemos primero los paréntesis. Después, multiplicaciones y divisiones de izquierda a derecha, y finalmente sumas y restas de izquierda a derecha. Si hay potencias, van después de los paréntesis y antes de multiplicar o dividir.|No calcules todo según aparece: revisa antes los paréntesis y las multiplicaciones.|En 3 + 4 × 2, calculas 4 × 2 = 8 y luego 3 + 8 = 11.|3 + 4 × 2 vale…~14~10~11~C$(3 + 4) × 2 vale…~14~11~9~A$En 12 ÷ 3 × 2, comenzamos con…~3 × 2~12 ÷ 3~12 × 2~B|Identifica qué operación tiene prioridad antes de calcular.|Multiplicar no tiene prioridad sobre dividir: comparten nivel.|Las convenciones del orden permiten que una expresión tenga la misma interpretación para todas las personas.
p-negative|Números negativos|Matemáticas|5-6|numeros negativos;negativos|Los negativos están por debajo de cero en la recta numérica. Sirven para describir, por ejemplo, temperaturas respecto a cero grados. Entre negativos, el que está más a la derecha es mayor.|En una recta, −2 está a la derecha de −5, así que −2 es mayor.|Una temperatura pasa de −3 °C a 2 °C: ha subido 5 grados.|¿Cuál es mayor?~−2~−5~Son iguales~A$De −3 a 2 hay…~1 unidad~5 unidades~6 unidades~B$Un número negativo está…~Siempre encima de cero~Siempre a su derecha~A la izquierda de cero en la recta~C|Coloca el cero y sitúa los números antes de compararlos.|El número con cifras más grandes no siempre es el mayor si hay signos negativos.|El signo cambia la posición respecto al origen, por eso hay que considerar número y signo juntos.
p-angles|Los ángulos|Matemáticas|3-6|angulos;angulo recto;angulos agudos y obtusos|Un ángulo mide la abertura entre dos semirrectas con origen común. Se puede expresar en grados. Un ángulo recto mide 90°; uno agudo es menor de 90° y mayor de 0°; uno obtuso está entre 90° y 180°.|Mira cuánto se abre, no cuánto miden los lados dibujados.|La esquina de una hoja rectangular forma un ángulo recto. Un ángulo de 40° es agudo.|Un ángulo recto mide…~180°~90°~45°~B$Un ángulo de 40° es…~Agudo~Obtuso~Llano~A$Un ángulo de 120° es…~Recto~Agudo~Obtuso~C|Compara la abertura con la esquina de una hoja.|Alargar los lados del dibujo no cambia la medida del ángulo.|El ángulo mide una abertura o un giro, no una longitud.
p-symmetry|La simetría|Matemáticas|2-6|simetria;simetria axial;eje de simetria|Una figura tiene simetría respecto a una línea si al reflejarla en esa línea coincide consigo misma. Esa línea se llama eje de simetría. Los puntos correspondientes quedan a la misma distancia del eje, en lados opuestos.|Imagina doblar por una línea: ambas partes deben coincidir.|Un cuadrado tiene ejes de simetría por sus diagonales y por las líneas que unen los puntos medios de lados opuestos.|La línea de reflexión se llama…~Eje de simetría~Perímetro~Radio~A$Los puntos reflejados están del eje a…~Distancias cualesquiera~La misma distancia~Cero siempre~B$Un cuadrado tiene…~Un eje de simetría~Ninguno~Cuatro ejes de simetría~C|Compara puntos a ambos lados de la línea de reflexión.|Que dos partes sean parecidas no demuestra una simetría exacta.|La reflexión conserva distancias y forma, pero cambia la orientación a través del eje.
p-solids|Cuerpos geométricos|Matemáticas|3-6|cuerpos geometricos;cubo y esfera;prismas|Los cuerpos geométricos ocupan espacio y tienen tres dimensiones. Un cubo tiene seis caras cuadradas. Una esfera tiene superficie curva. Un cilindro tiene dos bases circulares y una superficie lateral curva.|Un cuadrado es plano; un cubo ocupa espacio. No confundas el dibujo de una cara con todo el cuerpo.|Un dado idealizado tiene forma de cubo; una pelota idealizada, de esfera.|¿Cuántas caras tiene un cubo?~Cuatro~Ocho~Seis~C$Una pelota se aproxima a…~Una esfera~Un cuadrado~Un triángulo~A$Un cuerpo geométrico tiene…~Solo una dimensión~Tres dimensiones~Ninguna dimensión~B|Piensa si hablamos de una figura plana o de un objeto con volumen.|Un círculo y una esfera no son el mismo objeto geométrico.|Las caras pueden ser figuras planas, pero juntas delimitan un cuerpo tridimensional.
p-capacity|Litros y capacidad|Matemáticas|3-6|litros y mililitros;capacidad;unidades de capacidad|La capacidad indica cuánto puede contener un recipiente. Un litro equivale a 1000 mililitros. Para comparar capacidades, exprésalas en la misma unidad. Capacidad y masa son magnitudes distintas.|Mililitros son unidades pequeñas: mil de ellas forman un litro.|Dos botellas de 500 mL contienen en total 1000 mL, que equivalen a 1 L.|1 L equivale a…~1000 mL~100 mL~10 mL~A$500 mL son…~Dos litros~Medio litro~Cinco litros~B$El litro se usa para expresar…~Tiempo~Longitud~Capacidad o volumen~C|Convierte a la misma unidad antes de sumar o comparar.|Un litro de cualquier material no tiene siempre la misma masa.|El espacio ocupado y la masa dependen de propiedades diferentes: la densidad los relaciona.
p-data|Leer gráficos de barras|Matemáticas|3-6|grafico de barras;graficos de barras|Un gráfico de barras representa datos con barras cuya altura o longitud sigue una escala. Lee el título, las categorías, las unidades y el origen de la escala antes de comparar. No adivines cifras solo por el aspecto.|Mira qué cuenta el gráfico y cuánto vale cada marca de la escala.|Si cada marca representa 2 libros y una barra alcanza la tercera marca desde cero, representa 6 libros.|Con 2 libros por marca, tres marcas desde cero representan…~3~6~2~B$Antes de interpretar conviene leer…~Título y escala~Solo el color~Solo el borde~A$Si cambia la escala, una misma altura dibujada puede representar…~Siempre lo mismo~Ningún dato~Otra cantidad~C|Relaciona las marcas del eje con sus valores.|Barras visualmente más altas no se comparan sin mirar la escala.|La representación traduce cantidades a longitudes según una regla; sin conocerla no se puede recuperar el dato.
p-synonyms|Sinónimos y antónimos|Lengua Castellana y Literatura|2-6|sinonimos y antonimos;sinonimos;antonimos|Los sinónimos tienen significados iguales o parecidos en un contexto. Los antónimos expresan oposición. No todas las palabras pueden sustituirse en cualquier frase sin cambiar un matiz.|Alegre y contento pueden parecerse; frío y caliente se oponen.|En «está contenta», puedes decir «está alegre» con un sentido cercano. Grande y pequeño expresan oposición de tamaño.|Un antónimo de frío es…~Azul~Suave~Caliente~C$Un sinónimo aproximado de contento es…~Alegre~Triste~Lejano~A$Para elegir un sinónimo debemos considerar…~Solo la longitud~El contexto~Siempre la primera letra~B|Pregunta si las palabras se parecen en significado o se oponen.|Dos sinónimos no son intercambiables en todos los usos.|El contexto concreta el significado y permite elegir la palabra que expresa mejor lo que queremos decir.
